Orden,Dependencia,Atencion,Recibio del cer,Entrego al cer,Folio,Entrada,Equipo,Marca,Modelo,Serie,Unidad,Delegacion,Accesorios,Falla,Ticket,Status,Reparacion,Salida,Reparacion,Servicio,Reporte,LinkR,,linkO,Descarga
A34,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,MOTOROLA,SM50,682FYHC321,19,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A34,http://10.90.111.119:5000/resguardo/A34,http://10.90.111.119:5000/orden/A34,http://10.90.111.119:5000/orden/A34
A35,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,MOTOROLA,SM50,682FY7381,15,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A35,http://10.90.111.119:5000/resguardo/A35,http://10.90.111.119:5000/orden/A35,http://10.90.111.119:5000/orden/A35
A36,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,MOTOROLA,SM50,682FZL5081,33,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A36,http://10.90.111.119:5000/resguardo/A36,http://10.90.111.119:5000/orden/A36,http://10.90.111.119:5000/orden/A36
A37,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,MOTOROLA,SM50,682FCC0314,36,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A37,http://10.90.111.119:5000/resguardo/A37,http://10.90.111.119:5000/orden/A37,http://10.90.111.119:5000/orden/A37
A38,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,TK7102,70402833,35,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A38,http://10.90.111.119:5000/resguardo/A38,http://10.90.111.119:5000/orden/A38,http://10.90.111.119:5000/orden/A38
A39,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,TK7102,70402831,BODEGA,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A39,http://10.90.111.119:5000/resguardo/A39,http://10.90.111.119:5000/orden/A39,http://10.90.111.119:5000/orden/A39
A40,POLICIA,,,,4,13-Jan,MOVIL,SEPURA,STP3900,2PNG01634G722VU,145,SAN MIGUEL,,,,,,,,,,http://10.90.111.119:5000/resguardo/A40,http://10.90.111.119:5000/resguardo/A40,http://10.90.111.119:5000/orden/A40,http://10.90.111.119:5000/orden/A40
A41,POLICIA,,,,E440,13-Jan,BATERIA,XX,XX,D1036,XX,SAN ISIDRO,,,14330,ENTRAGADO,19-Jan,22-Jan,SERGIO,DIAGNOSTICO,"SE REVISA LA BATERIA DETECTANDO QUE ESTA ABULTADA SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LA BATERIA YA NO RETIENE LA CARGA, YA CUMPLIO CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A41,http://10.90.111.119:5000/resguardo/A41,http://10.90.111.119:5000/orden/A41,http://10.90.111.119:5000/orden/A41
A42,POLICIA,,,,E441,13-Jan,BATERIA,XX,XX,D872,XX,SAN ISIDRO,,,14331,ENTRAGADO,19-Jan,22-Jan,SERGIO,DIAGNOSTICO,"SE REVISA LA BATERIA DETECTANDO QUE ESTA ABULTADA SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LA BATERIA YA NO RETIENE LA CARGA, YA CUMPLIO CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A42,http://10.90.111.119:5000/resguardo/A42,http://10.90.111.119:5000/orden/A42,http://10.90.111.119:5000/orden/A42
A43,POLICIA,,,,E443,13-Jan,BATERIA,XX,XX,D952,XX,CAMPESTRE,,,14333,ENTRAGADO,19-Jan,22-Jan,SERGIO,DIAGNOSTICO,"SE REVISA LA BATERIA DETECTANDO QUE ESTA ABULTADA SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LA BATERIA YA NO RETIENE LA CARGA, YA CUMPLIO CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A43,http://10.90.111.119:5000/resguardo/A43,http://10.90.111.119:5000/orden/A43,http://10.90.111.119:5000/orden/A43
